latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.8959,141.69955,377.17,1.15,1.07,2022-06-29,0052,T,100,6.1NRT,290.92,166.38,D
-15.05747,141.77986,317.35,1.16,1.07,2022-06-29,0052,T,60,6.1NRT,297.33,8.07,D
-15.23115,142.94063,312.48,1.36,1.16,2022-06-29,0052,T,63,6.1NRT,293.49,9.47,D
-15.44778,142.17451,314.24,1.23,1.1,2022-06-29,0052,T,54,6.1NRT,297,7.69,D
-14.57462,135.51451,325.95,1.4,1.17,2022-06-29,0052,T,62,6.1NRT,292.77,28.73,D
-14.5851,135.51273,340.76,1.4,1.17,2022-06-29,0052,T,69,6.1NRT,295.04,62.03,D
-15.81009,143.74057,313.53,1.57,1.23,2022-06-29,0052,T,63,6.1NRT,293.79,14.97,D
-15.58523,141.75726,317.44,1.17,1.08,2022-06-29,0052,T,60,6.1NRT,298.64,8.13,D
-15.5867,141.76816,321.02,1.18,1.08,2022-06-29,0052,T,68,6.1NRT,298.53,11.5,D
-15.59112,141.80092,323.05,1.18,1.08,2022-06-29,0052,T,71,6.1NRT,298.35,14.07,D
-16.15608,143.58315,310.34,1.55,1.23,2022-06-29,0052,T,39,6.1NRT,288.26,11.61,D
-16.34162,144.56685,310,1.83,1.33,2022-06-29,0052,T,50,6.1NRT,292.19,13.94,D
-17.49106,138.83882,306.77,1,1,2022-06-29,0052,T,40,6.1NRT,282.22,3.38,D
-4.85898,12.03047,302.52,2.32,1.47,2022-06-29,0113,A,50,6.1NRT,287.05,21.16,N
28.91841,9.74481,321.56,1.23,1.1,2022-06-29,0105,A,100,6.1NRT,297.21,23.27,N
28.91687,9.75727,316.91,1.23,1.1,2022-06-29,0105,A,94,6.1NRT,297.24,17.39,N
28.73923,9.7928,311.61,1.22,1.1,2022-06-29,0105,A,82,6.1NRT,298.03,10.88,N
28.63802,9.78395,311.82,1.21,1.1,2022-06-29,0105,A,83,6.1NRT,298.13,10.69,N
28.63649,9.79622,309.67,1.21,1.09,2022-06-29,0105,A,77,6.1NRT,298.04,8.79,N
28.68553,7.20308,320.42,1.74,1.29,2022-06-29,0105,A,100,6.1NRT,299.53,35.37,N
