latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
49.8199,69.48499,338.56,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,308.35,33.04,D
49.8221,69.47665,367,0.49,0.4,2022-06-29,0741,N,high,2.0NRT,336.1,87.87,D
49.82349,69.48323,345.8,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,305.43,33.04,D
49.82072,69.47008,330.97,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,300.17,87.87,D
49.8243,69.4683,333.91,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,299.91,26.79,D
49.82568,69.47488,367,0.49,0.4,2022-06-29,0741,N,low,2.0NRT,327.68,26.79,D
49.82926,69.4731,351.61,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,307.32,26.79,D
49.82788,69.46651,334.09,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,299,26.79,D
49.83146,69.46474,339.09,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,299.41,6.87,D
49.83504,69.46296,342.5,0.49,0.4,2022-06-29,0741,N,nominal,2.0NRT,300.44,6.87,D
52.17694,92.33192,333.02,0.51,0.66,2022-06-29,0741,N,nominal,2.0NRT,298.06,5.45,D
52.18313,92.32082,330.35,0.51,0.66,2022-06-29,0741,N,nominal,2.0NRT,294.81,5.45,D
51.73363,79.60169,335.47,0.46,0.39,2022-06-29,0741,N,nominal,2.0NRT,291.03,4.2,D
51.7365,79.59393,332.56,0.46,0.39,2022-06-29,0741,N,nominal,2.0NRT,292.14,13.39,D
51.74087,79.59965,348.15,0.46,0.39,2022-06-29,0741,N,nominal,2.0NRT,298.8,91.38,D
51.74,79.59954,345.11,0.46,0.39,2022-06-29,0741,N,nominal,2.0NRT,305,35.2,D
51.73928,79.5928,330.55,0.46,0.39,2022-06-29,0741,N,nominal,2.0NRT,291.39,35.2,D
51.26031,75.72031,334.78,0.39,0.36,2022-06-29,0741,N,low,2.0NRT,309.11,1.12,D
52.64071,90.9413,326.69,0.45,0.63,2022-06-29,0741,N,nominal,2.0NRT,295.04,4.66,D
48.23384,57.35271,345.21,0.55,0.68,2022-06-29,0744,N,nominal,2.0NRT,293.46,6.36,D
48.32877,57.4332,334.67,0.54,0.68,2022-06-29,0744,N,nominal,2.0NRT,299.72,2.83,D
53.68355,85.00325,325.38,0.51,0.5,2022-06-29,0744,N,low,2.0NRT,300.18,4.75,D
53.7129,85.0617,329.87,0.52,0.5,2022-06-29,0744,N,low,2.0NRT,302.08,4.05,D
53.71753,85.06098,326.19,0.52,0.5,2022-06-29,0744,N,low,2.0NRT,300.63,4.05,D
53.72391,85.09179,338.97,0.52,0.5,2022-06-29,0744,N,nominal,2.0NRT,303.74,11.17,D
53.72347,85.08392,327.6,0.52,0.5,2022-06-29,0744,N,low,2.0NRT,302.39,4.59,D
53.88607,87.25596,340.79,0.32,0.54,2022-06-29,0744,N,nominal,2.0NRT,304.63,6.07,D
53.89256,87.29031,344.66,0.32,0.54,2022-06-29,0744,N,nominal,2.0NRT,304.75,4.31,D
53.89236,87.28534,347.04,0.32,0.54,2022-06-29,0744,N,nominal,2.0NRT,302.33,4.31,D
53.88984,87.28752,342.2,0.32,0.55,2022-06-29,0744,N,nominal,2.0NRT,303.8,4.38,D
53.89493,87.28704,348.19,0.32,0.55,2022-06-29,0744,N,nominal,2.0NRT,302.92,4.38,D
53.92058,87.28942,367,0.32,0.55,2022-06-29,0744,N,high,2.0NRT,305.97,13.55,D
53.9204,87.28449,345.93,0.32,0.55,2022-06-29,0744,N,nominal,2.0NRT,309.01,13.55,D
53.9958,86.67229,335.66,0.6,0.53,2022-06-29,0744,N,low,2.0NRT,306.01,5.49,D
54.27349,86.16206,335.22,0.58,0.52,2022-06-29,0744,N,nominal,2.0NRT,303.94,8.43,D
54.65582,83.31092,326.42,0.45,0.47,2022-06-29,0744,N,nominal,2.0NRT,300.29,2.41,D
54.99742,90.63782,332.46,0.44,0.62,2022-06-29,0744,N,nominal,2.0NRT,296.67,3.46,D
54.99542,90.63705,332.69,0.44,0.62,2022-06-29,0744,N,nominal,2.0NRT,296.34,2.54,D
50.34883,57.13364,332.61,0.47,0.64,2022-06-29,0744,N,nominal,2.0NRT,297.96,3.99,D
59.53639,70.06278,328.62,0.38,0.36,2022-06-29,0746,N,nominal,2.0NRT,292.06,1.87,D
59.53536,70.05617,326.89,0.38,0.36,2022-06-29,0746,N,nominal,2.0NRT,288.32,1.87,D
57.94636,60.05992,339.64,0.42,0.45,2022-06-29,0746,N,nominal,2.0NRT,293.98,10.75,D
57.94471,60.05342,334.24,0.42,0.45,2022-06-29,0746,N,nominal,2.0NRT,296.53,8.2,D
57.94351,60.06166,339.57,0.42,0.45,2022-06-29,0746,N,nominal,2.0NRT,296.27,9.51,D
57.94733,60.05826,339.18,0.42,0.45,2022-06-29,0746,N,nominal,2.0NRT,290.88,4.99,D
57.94566,60.05179,335.22,0.42,0.45,2022-06-29,0746,N,nominal,2.0NRT,292.22,4.99,D
55.60007,51.90009,351.35,0.46,0.64,2022-06-29,0746,N,nominal,2.0NRT,284.59,5.32,D
60.46617,72.20811,335.88,0.4,0.37,2022-06-29,0746,N,nominal,2.0NRT,291.54,9.61,D
60.68998,72.85745,332.45,0.41,0.37,2022-06-29,0746,N,nominal,2.0NRT,287.89,2.72,D
60.6917,72.8559,336.51,0.41,0.37,2022-06-29,0746,N,nominal,2.0NRT,289.83,3.63,D
61.22513,76.8206,329.36,0.5,0.41,2022-06-29,0746,N,nominal,2.0NRT,277.57,6.07,D
60.93449,73.02942,328.79,0.41,0.37,2022-06-29,0746,N,nominal,2.0NRT,284.64,2.2,D
60.93576,73.02831,329.64,0.41,0.37,2022-06-29,0746,N,nominal,2.0NRT,284.37,2.37,D
58.0748,55.74623,327.28,0.56,0.52,2022-06-29,0746,N,nominal,2.0NRT,295.74,3.12,D
60.32952,64.73126,325.19,0.42,0.38,2022-06-29,0746,N,nominal,2.0NRT,290.3,1.57,D
61.75245,66.96061,348.89,0.39,0.36,2022-06-29,0746,N,nominal,2.0NRT,293.82,9.34,D
61.75562,66.95821,335.38,0.39,0.36,2022-06-29,0746,N,nominal,2.0NRT,287.59,3.74,D
64.91506,75.5503,336.67,0.52,0.41,2022-06-29,0746,N,nominal,2.0NRT,292.58,6.64,D
57.08864,42.86337,346.62,0.74,0.76,2022-06-29,0746,N,nominal,2.0NRT,283.55,13.56,D
57.08945,42.87479,325.26,0.73,0.76,2022-06-29,0746,N,nominal,2.0NRT,285.33,7.23,D
57.08499,42.86533,341.63,0.74,0.76,2022-06-29,0746,N,nominal,2.0NRT,283.6,7.23,D
57.2967,43.09707,333.01,0.71,0.75,2022-06-29,0746,N,nominal,2.0NRT,287.11,5.62,D
57.29761,43.1016,331.37,0.71,0.75,2022-06-29,0746,N,nominal,2.0NRT,286.34,5.41,D
59.13363,37.78884,325.9,0.79,0.78,2022-06-29,0748,N,nominal,2.0NRT,295.21,5.69,D
31.39781,6.93339,334.22,0.39,0.36,2022-06-29,0124,N,nominal,2.0NRT,302.98,2.8,N
31.39448,6.93264,318.7,0.39,0.36,2022-06-29,0124,N,nominal,2.0NRT,302.38,2.8,N
31.49418,5.8447,330.7,0.38,0.36,2022-06-29,0124,N,nominal,2.0NRT,296.13,5.65,N
31.05701,8.03622,326.67,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.13,1.77,N
31.05359,8.03539,334.45,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,300.87,2.79,N
31.01333,8.1624,321.23,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.08,2.8,N
31.00834,8.17039,311.59,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.45,0.87,N
30.82565,8.03004,313.51,0.42,0.38,2022-06-29,0124,N,nominal,2.0NRT,301.02,0.72,N
